target_index,flag,submit_success,timestamp
1,OS{init_flag_1},True,2024-09-05 15:16:59
2,OS{init_flag_2},False,2024-09-05 15:16:59
3,OS{init_flag_3},True,2024-09-05 15:16:59
4,OS{init_flag_4},True,2024-09-05 15:16:59
1,OS{auto_flag_7009},False,2024-09-05 15:16:59
2,OS{auto_flag_5807},True,2024-09-05 15:16:59
3,OS{auto_flag_9122},True,2024-09-05 15:16:59
4,OS{auto_flag_2170},True,2024-09-05 15:16:59
1,OS{auto_flag_4118},True,2024-09-05 15:17:59
2,OS{auto_flag_1563},False,2024-09-05 15:17:59
3,OS{auto_flag_1687},False,2024-09-05 15:17:59
4,OS{auto_flag_6331},False,2024-09-05 15:17:59
1,OS{auto_flag_5184},False,2024-09-05 15:18:59
2,OS{auto_flag_6604},True,2024-09-05 15:18:59
3,OS{auto_flag_6134},False,2024-09-05 15:18:59
4,OS{auto_flag_7317},True,2024-09-05 15:18:59
1,OS{auto_flag_1365},True,2024-09-05 15:19:59
2,OS{auto_flag_2176},False,2024-09-05 15:19:59
3,OS{auto_flag_8202},False,2024-09-05 15:19:59
4,OS{auto_flag_2264},False,2024-09-05 15:19:59
1,OS{auto_flag_7074},False,2024-09-05 15:20:59
2,OS{auto_flag_7571},True,2024-09-05 15:20:59
3,OS{auto_flag_3202},False,2024-09-05 15:20:59
4,OS{auto_flag_5199},False,2024-09-05 15:20:59
1,OS{auto_flag_1635},True,2024-09-05 15:21:59
2,OS{auto_flag_6981},False,2024-09-05 15:21:59
3,OS{auto_flag_2685},True,2024-09-05 15:21:59
4,OS{auto_flag_1794},False,2024-09-05 15:21:59
1,OS{auto_flag_1129},False,2024-09-05 15:22:59
2,OS{auto_flag_3262},False,2024-09-05 15:22:59
3,OS{auto_flag_6915},True,2024-09-05 15:22:59
4,OS{auto_flag_5881},True,2024-09-05 15:22:59
1,OS{auto_flag_3928},True,2024-09-05 15:23:59
2,OS{auto_flag_9125},True,2024-09-05 15:23:59
3,OS{auto_flag_8771},False,2024-09-05 15:23:59
4,OS{auto_flag_9263},False,2024-09-05 15:23:59
1,OS{auto_flag_1236},False,2024-09-05 15:24:59
2,OS{auto_flag_7193},False,2024-09-05 15:24:59
3,OS{auto_flag_3295},False,2024-09-05 15:24:59
4,OS{auto_flag_1246},True,2024-09-05 15:24:59
1,OS{auto_flag_6726},False,2024-09-05 15:25:59
2,OS{auto_flag_5694},True,2024-09-05 15:25:59
3,OS{auto_flag_1029},True,2024-09-05 15:25:59
4,OS{auto_flag_4038},False,2024-09-05 15:25:59
1,OS{auto_flag_7854},False,2024-09-05 15:26:59
2,OS{auto_flag_7535},True,2024-09-05 15:26:59
3,OS{auto_flag_5259},True,2024-09-05 15:26:59
4,OS{auto_flag_7907},True,2024-09-05 15:26:59
1,OS{auto_flag_3323},True,2024-09-05 15:27:59
2,OS{auto_flag_6922},True,2024-09-05 15:27:59
3,OS{auto_flag_9165},True,2024-09-05 15:27:59
4,OS{auto_flag_9192},True,2024-09-05 15:27:59
1,OS{auto_flag_4857},True,2024-09-05 15:28:59
2,OS{auto_flag_3470},True,2024-09-05 15:28:59
3,OS{auto_flag_1667},True,2024-09-05 15:28:59
4,OS{auto_flag_1936},False,2024-09-05 15:28:59
1,OS{auto_flag_1480},False,2024-09-05 15:29:59
2,OS{auto_flag_9976},True,2024-09-05 15:29:59
3,OS{auto_flag_3326},True,2024-09-05 15:29:59
4,OS{auto_flag_8341},False,2024-09-05 15:29:59
1,OS{auto_flag_6484},False,2024-09-05 15:30:36
2,OS{auto_flag_5048},True,2024-09-05 15:30:36
3,OS{auto_flag_9661},True,2024-09-05 15:30:36
4,OS{auto_flag_7722},False,2024-09-05 15:30:36
5,OS{auto_flag_9088},True,2024-09-05 15:30:36
6,OS{auto_flag_7655},False,2024-09-05 15:30:36
7,OS{auto_flag_1469},True,2024-09-05 15:30:36
8,OS{auto_flag_1542},False,2024-09-05 15:30:36
1,OS{auto_flag_9996},True,2024-09-05 15:31:36
2,OS{auto_flag_5572},True,2024-09-05 15:31:36
3,OS{auto_flag_2461},False,2024-09-05 15:31:36
4,OS{auto_flag_6966},True,2024-09-05 15:31:36
5,OS{auto_flag_7610},False,2024-09-05 15:31:36
6,OS{auto_flag_7489},True,2024-09-05 15:31:36
7,OS{auto_flag_9536},False,2024-09-05 15:31:36
8,OS{auto_flag_7798},False,2024-09-05 15:31:36
1,OS{auto_flag_9719},False,2024-09-05 15:32:36
2,OS{auto_flag_4852},True,2024-09-05 15:32:36
3,OS{auto_flag_7455},True,2024-09-05 15:32:36
4,OS{auto_flag_9526},False,2024-09-05 15:32:36
5,OS{auto_flag_3011},False,2024-09-05 15:32:36
6,OS{auto_flag_7224},False,2024-09-05 15:32:36
7,OS{auto_flag_8883},True,2024-09-05 15:32:36
8,OS{auto_flag_9009},True,2024-09-05 15:32:36
1,OS{auto_flag_4681},False,2024-09-05 15:33:36
2,OS{auto_flag_8526},True,2024-09-05 15:33:36
3,OS{auto_flag_8198},True,2024-09-05 15:33:36
4,OS{auto_flag_6368},False,2024-09-05 15:33:36
5,OS{auto_flag_2915},True,2024-09-05 15:33:36
6,OS{auto_flag_2967},True,2024-09-05 15:33:36
7,OS{auto_flag_6132},True,2024-09-05 15:33:36
8,OS{auto_flag_7680},False,2024-09-05 15:33:36
1,OS{auto_flag_2712},True,2024-09-05 15:34:36
2,OS{auto_flag_3339},True,2024-09-05 15:34:36
3,OS{auto_flag_9587},True,2024-09-05 15:34:36
4,OS{auto_flag_8681},True,2024-09-05 15:34:36
5,OS{auto_flag_5701},True,2024-09-05 15:34:36
6,OS{auto_flag_3687},False,2024-09-05 15:34:36
7,OS{auto_flag_6912},True,2024-09-05 15:34:36
8,OS{auto_flag_1860},True,2024-09-05 15:34:36
1,OS{auto_flag_8288},True,2024-09-05 15:35:36
2,OS{auto_flag_1107},True,2024-09-05 15:35:36
3,OS{auto_flag_6311},False,2024-09-05 15:35:36
4,OS{auto_flag_6546},False,2024-09-05 15:35:36
5,OS{auto_flag_8792},False,2024-09-05 15:35:36
6,OS{auto_flag_4963},True,2024-09-05 15:35:36
7,OS{auto_flag_6899},True,2024-09-05 15:35:36
8,OS{auto_flag_5973},True,2024-09-05 15:35:36
1,OS{auto_flag_5619},True,2024-09-05 15:36:36
2,OS{auto_flag_4093},False,2024-09-05 15:36:36
3,OS{auto_flag_5322},True,2024-09-05 15:36:36
4,OS{auto_flag_2404},False,2024-09-05 15:36:36
5,OS{auto_flag_7559},True,2024-09-05 15:36:36
6,OS{auto_flag_9044},False,2024-09-05 15:36:36
7,OS{auto_flag_3510},True,2024-09-05 15:36:36
8,OS{auto_flag_6231},True,2024-09-05 15:36:36
1,OS{auto_flag_8847},True,2024-09-05 15:37:36
2,OS{auto_flag_2794},False,2024-09-05 15:37:36
3,OS{auto_flag_7854},True,2024-09-05 15:37:36
4,OS{auto_flag_4450},False,2024-09-05 15:37:36
5,OS{auto_flag_9496},True,2024-09-05 15:37:36
6,OS{auto_flag_6754},False,2024-09-05 15:37:36
7,OS{auto_flag_3450},False,2024-09-05 15:37:36
8,OS{auto_flag_6062},False,2024-09-05 15:37:36
1,OS{auto_flag_2860},True,2024-09-05 15:38:36
2,OS{auto_flag_7774},True,2024-09-05 15:38:36
3,OS{auto_flag_2844},True,2024-09-05 15:38:36
4,OS{auto_flag_8307},False,2024-09-05 15:38:36
5,OS{auto_flag_7619},True,2024-09-05 15:38:36
6,OS{auto_flag_9262},True,2024-09-05 15:38:36
7,OS{auto_flag_8221},True,2024-09-05 15:38:36
8,OS{auto_flag_7440},True,2024-09-05 15:38:36
1,OS{auto_flag_5635},True,2024-09-05 15:39:36
2,OS{auto_flag_9452},True,2024-09-05 15:39:36
3,OS{auto_flag_4201},True,2024-09-05 15:39:36
4,OS{auto_flag_7773},False,2024-09-05 15:39:36
5,OS{auto_flag_6391},True,2024-09-05 15:39:36
6,OS{auto_flag_5760},False,2024-09-05 15:39:36
7,OS{auto_flag_4157},False,2024-09-05 15:39:36
8,OS{auto_flag_6069},True,2024-09-05 15:39:36
1,OS{auto_flag_1920},False,2024-09-05 15:40:36
2,OS{auto_flag_2146},False,2024-09-05 15:40:36
3,OS{auto_flag_7432},False,2024-09-05 15:40:36
4,OS{auto_flag_5983},True,2024-09-05 15:40:36
5,OS{auto_flag_9036},False,2024-09-05 15:40:36
6,OS{auto_flag_5829},True,2024-09-05 15:40:36
7,OS{auto_flag_5702},True,2024-09-05 15:40:36
8,OS{auto_flag_2356},False,2024-09-05 15:40:36
1,OS{auto_flag_7886},True,2024-09-05 15:41:36
2,OS{auto_flag_5646},True,2024-09-05 15:41:36
3,OS{auto_flag_3368},True,2024-09-05 15:41:36
4,OS{auto_flag_1199},False,2024-09-05 15:41:36
5,OS{auto_flag_4645},True,2024-09-05 15:41:36
6,OS{auto_flag_2071},False,2024-09-05 15:41:36
7,OS{auto_flag_6215},False,2024-09-05 15:41:36
8,OS{auto_flag_4614},False,2024-09-05 15:41:36
1,OS{auto_flag_5368},True,2024-09-05 15:42:36
2,OS{auto_flag_4506},False,2024-09-05 15:42:36
3,OS{auto_flag_8372},True,2024-09-05 15:42:36
4,OS{auto_flag_7905},False,2024-09-05 15:42:36
5,OS{auto_flag_5649},True,2024-09-05 15:42:36
6,OS{auto_flag_8034},False,2024-09-05 15:42:36
7,OS{auto_flag_3388},True,2024-09-05 15:42:36
8,OS{auto_flag_2466},False,2024-09-05 15:42:36
1,OS{auto_flag_8063},True,2024-09-05 15:43:36
2,OS{auto_flag_3794},False,2024-09-05 15:43:36
3,OS{auto_flag_9796},True,2024-09-05 15:43:36
4,OS{auto_flag_1975},False,2024-09-05 15:43:36
5,OS{auto_flag_6251},False,2024-09-05 15:43:36
6,OS{auto_flag_5612},True,2024-09-05 15:43:36
7,OS{auto_flag_9934},True,2024-09-05 15:43:36
8,OS{auto_flag_6481},False,2024-09-05 15:43:36
